subject,subject,relation
气候问题,纬度(决定因素),包含
气候问题,大气环流(气压带、风带与季风),包含
气候问题,地形(高度、地势、坡向)：,包含
气候问题,海陆位置：,包含
气候问题,洋流：暖流：,包含
气候问题,洋流：寒流：,包含
气候问题,人类活动：,包含
气候问题,纬度：,包含
气候问题,季节：,包含
气候问题,地形地势：,包含
气候问题,下垫面性质：,包含
气候问题,天气状况：,包含
气候问题,海拔高度：,包含
气候问题,大气环流(气压带、风带与季风)：,包含
气候问题,地形：,包含
气候问题,描述模式：,包含
气候问题,气压梯度力大小：,包含
气候问题,距高压中心远近：,包含
气候问题,摩擦力大小(地面平坦开阔、海面上)：,包含
气候问题,植被多少：,包含
气候问题,地形(山谷口的狭管效应、高原上)：,包含
气候问题,从地理角度解释“蜀犬吠日”？ ,包含
气候问题,为何巴山多夜雨？,包含
气候问题,何为雅安天漏？,包含
气候问题,昆明为何“四季无寒暑(四季如春)，一雨便成秋”？,包含
气候问题,为何贵阳“天无三日晴”？,包含
气候问题,贵阳为何冬季多冻雨？,包含
气候问题,新疆地区“一日一洪峰”发生的原因？,包含
气候问题,锋面雨带的移动规律是：,包含
