main,scope,relation
易混概念,易混概念一　天体与天体系统,包含
易混概念,易混概念二　地球存在生命的条件与地球存在生命的原因,包含
易混概念,易混概念三　光照与热量,包含
易混概念,易混概念四　积温和无霜期,包含
易混概念,易混概念五　恒星日与太阳日,包含
易混概念,易混概念六　冬至日与近日点、夏至日与远日点,包含
易混概念,易混概念七　昼夜现象、昼夜更替与昼夜长短,包含
易混概念,易混概念八　地方时、区时、时区、北京时间、国际标准时间,包含
易混概念,易混概念九　日界线与180°经线,包含
易混概念,易混概念十　正午太阳高度与太阳高度,包含
易混概念,易混概念十一　地壳与岩石圈,包含
易混概念,易混概念十二　海岭与海沟,包含
易混概念,易混概念十三　流水侵蚀作用与水的溶蚀作用,包含
易混概念,易混概念十四　冲积扇、冲积平原,包含
易混概念,易混概念十五　地质作用、地壳运动、地质构造、构造地貌,包含
易混概念,易混概念十六　风化作用与风力侵蚀,包含
易混概念,易混概念十七　黄土高原黄土的成因和地表千沟万壑的成因,包含
易混概念,易混概念十八　气候和天气,包含
易混概念,易混概念十九　温和、寒冷、低温、凉爽,包含
易混概念,易混概念二十　降水、降雨,包含
易混概念,易混概念二十二　低压与气旋、高压与反气旋,包含
易混概念,易混概念二十三　热带雨林气候、热带雨林、热带雨林带,包含
易混概念,易混概念二十五　寒潮与冷锋,包含
易混概念,易混概念二十六　冰川融水与冰雪融水,包含
易混概念,易混概念二十七　水资源、水能资源、水利资源、水力资源,包含
易混概念,易混概念二十八　土壤、土地、土地资源,包含
易混概念,易混概念二十九　草原、草地、草场,包含
易混概念,易混概念三十　滑坡与泥石流,包含
易混概念,易混概念三十二　郊区城市化与逆城市化,包含
易混概念,易混概念三十三　全球变暖与热岛效应,包含
易混概念,易混概念三十四　地铁、轻轨与高铁,包含
易混概念,易混概念三十五　水分与水源,包含
易混概念,易混概念三十六　春小麦与冬小麦,包含
易混概念,易混概念三十七　乳畜业与大牧场放牧业,包含
易混概念,易混概念三十八　生态农业与立体农业,包含
易混概念,易混概念三十九　环境污染与生态破坏,包含
易混概念,易混概念四十　中国四大地理分区和三大自然地理区域,包含
